date,jq_n,local_n,overlap,jaccard,common,jq_only,local_only
2018-04-03,12,12,2,0.09090909090909091,"600028,601006","000625,000725,000876,600000,600196,600438,600690,600887","000100,000709,000895,002475,600025,600031,600050,600760"
2018-07-03,11,12,3,0.15,"000100,600887,601006","000625,000725,000876,002460,300274,601166,601668,601688","000002,000709,002475,600028,600031,600760,601398,601877"
2018-09-26,12,12,3,0.14285714285714285,"000100,000709,601006","000625,000725,002241,300274,600196,600837,600887,601166","000002,000568,002475,600028,600031,600438,600760,601398"
2018-12-26,12,12,4,0.2,"000100,000709,600438,601006","000725,000876,002241,600104,600196,600809,601166,601688","000858,002475,600028,600031,600050,600760,601328,603259"
2019-03-29,12,12,4,0.2,"000876,000895,600104,600196","000100,000709,000725,002241,300274,600028,601166,601668","000651,002415,600019,600438,600900,601006,601211,601328"
2019-06-28,11,12,5,0.2777777777777778,"000100,000895,300274,600104,601006","000709,000725,000776,000876,600000,600028","002415,300059,600019,600048,600196,601211,601288"
2019-09-23,11,12,3,0.15,"000100,600104,601006","000709,000725,000895,002460,300274,600028,601166,601668","002415,300059,600019,600048,600050,600196,600887,601211"
2019-12-23,12,12,3,0.14285714285714285,"600019,600104,600196","000100,000876,000895,600025,600028,601006,601012,601166","002415,300059,300498,600050,600690,600887,601211,601398"
2020-03-25,12,12,2,0.09090909090909091,"000725,600019","000895,002013,600028,600104,600196,600690,601006,601012","000157,000651,002594,300274,300433,600025,600760,601111"
2020-06-23,12,12,2,0.09090909090909091,"000725,600196","002459,300433,300498,600019,600104,600690,601111,601166","000157,000333,000709,000776,300059,300274,600025,600346"
2020-09-17,12,12,7,0.4117647058823529,"000725,300433,600019,600104,600887,601111,601668","600000,600196,600690,601688,601985","000651,000776,002594,600760,601877"
2020-12-18,12,12,5,0.2631578947368421,"000157,000725,600887,601111,601668","002241,600019,600028,600438,600690,601328,601985","000100,000709,000776,002714,300433,600000,601012"
2021-03-22,12,12,8,0.5,"000725,600028,600196,600438,600887,601006,601668,601985","000625,000651,002241,601328","000100,300498,600104,600760"
2021-06-21,12,12,6,0.3333333333333333,"000725,600019,600028,601006,601211,601668","000651,000876,000895,600000,600104,601989","000100,000157,600438,600887,601328,601985"
2021-09-13,12,12,8,0.5,"000100,000725,002714,600028,600887,601006,601668,601985","000709,600016,600196,601688","000157,600019,601328,601877"
2021-12-15,12,12,7,0.4117647058823529,"000100,000725,600019,600887,601006,601668,601688","600104,600196,600900,601328,601857","000876,600028,600031,600438,601985"
2022-03-17,12,12,8,0.5,"000100,000725,000876,600019,600887,601006,601668,601688","002129,600016,600104,600196","000625,600028,600438,601985"
2022-06-17,12,12,6,0.3333333333333333,"000100,000725,600438,600887,601668,601985","000709,002241,600104,600196,601006,601288","000625,000876,600019,600028,600030,600050"
2022-09-09,11,12,8,0.5333333333333333,"000100,000725,000876,600028,600438,601006,601668,601985","600050,600104,600196","000625,600019,600030,601288"
2022-12-12,11,12,7,0.4375,"000725,600028,600104,600438,600887,601668,601985","000651,600196,601006,601166","000100,000876,600019,601111,601288"
2023-03-14,12,12,5,0.2631578947368421,"000725,600438,600887,601668,601985","000651,002460,600050,600104,600196,601006,601166","000100,000625,000792,600019,600030,601111,601288"
2023-06-12,12,12,5,0.2631578947368421,"600438,601111,601166,601668,601985","000100,002460,002475,600050,600104,600196,601688","000625,000651,000725,000792,600019,600030,600887"
2023-09-06,12,12,7,0.4117647058823529,"002460,600438,600887,601006,601288,601668,601985","000100,000538,002475,600104,601211","000625,000651,000725,000792,600019"
2023-12-07,12,12,6,0.3333333333333333,"000651,000725,600438,600887,601668,601985","000792,000876,002241,600104,601166,601688","000625,002460,600019,600028,600050,601006"
2024-03-11,12,12,4,0.2,"002129,600887,601111,601985","000792,002241,002475,600104,600760,601166,601211,601668","000625,000651,000725,002460,002714,600019,600028,603259"
2024-06-11,12,12,7,0.4117647058823529,"000651,000725,600104,600887,601688,601985,603259","002459,300433,600016,600346,601006","002241,002714,600019,600028,601166"
2024-09-03,12,12,5,0.2631578947368421,"000725,600019,600104,600887,601985","000651,002129,600016,600050,601006,601668,601688","000100,002241,002714,600028,601111,601166,603259"
2024-12-05,12,12,7,0.4117647058823529,"000725,002241,600104,600887,601688,601985,603259","000651,002129,600016,601006,601668","000002,000100,600019,600760,601166"
2025-03-10,12,12,4,0.2,"000725,600104,600887,601985","002241,600016,600050,600196,600690,601006,601668,601688","000651,002460,600019,600760,601111,601166,601211,601857"
2025-06-09,12,12,3,0.14285714285714285,"000651,600050,603799","000625,000725,000895,002459,003816,600016,601006,601668","002241,002475,002714,600104,600760,600887,601166,601857"
2025-09-01,12,12,5,0.2631578947368421,"000651,000725,600050,600887,601985","000625,600016,600196,600438,601006,601211,601668","000002,002714,300059,600019,601111,601166,601857"
2025-12-02,12,12,6,0.3333333333333333,"000651,000725,600019,600050,600887,601985","000625,002459,600016,601006,601668,603259","000538,002714,300059,600104,601166,601857"
