code,name,sell_trades,realized_pnl,sell_amount,fee,realized_pnl_rate,held_days,avg_weight,last_float_pnl
600438.XSHG,通威股份,5,-6869.4000000000015,67265,59.69,-0.10212443321192301,510,18939.986274509803,110.0
000725.XSHE,京东方A,12,-3993.4799999999996,114599,118.88,-0.03484742449759596,949,20326.57850368809,-50.21
002129.XSHE,TCL中环,1,-3824.0,17376,13.69,-0.22007366482504603,30,18702.933333333334,-4496.0
002460.XSHE,赣锋锂业,1,-2998.0,18285,14.14,-0.1639595296691277,120,17751.708333333332,-4133.0
002821.XSHE,凯莱英,2,-2596.0,26024,23.009999999999998,-0.09975407316323394,60,14130.216666666667,-638.0
002241.XSHE,歌尔股份,2,-2221.0,21013,20.51,-0.10569647361157379,120,19155.083333333332,-2727.0
300274.XSHE,阳光电源,3,-2139.0,12922,21.46,-0.1655316514471444,150,12305.08,-1875.92
300433.XSHE,蓝思科技,1,-1800.0,15880,12.94,-0.11335012594458438,30,17078.333333333332,-1500.0
002304.XSHE,洋河股份,1,-1360.0,13146,11.57,-0.10345352198387342,30,13589.533333333333,-1152.0
601688.XSHG,华泰证券,2,-1133.0,37284,28.64,-0.03038837034652934,180,19307.933333333334,-1595.0
600025.XSHG,华能水电,1,-1102.0,13870,11.94,-0.07945205479452055,30,14265.2,-1140.0
000625.XSHE,长安汽车,2,-543.0,34188,28.05,-0.01588276588276588,109,19882.403669724772,152.0
601985.XSHG,中国核电,4,-430.0,63114,52.8,-0.006813068415882371,150,20342.206666666665,-648.0
601111.XSHG,中国国航,2,-68.0,20757,20.54,-0.003276003276003276,60,21413.866666666665,-264.0
600000.XSHG,浦发银行,3,168.0,40760,35.39,0.0041216879293424925,150,13596.813333333334,-164.0
000709.XSHE,河钢股份,2,492.0,23852,21.92,0.020627201073285258,60,12056.333333333334,-750.0
600050.XSHG,中国联通,1,574.4,22512,17.11,0.025515280739161334,60,22289.6,1120.4
000538.XSHE,云南白药,2,687.5,25880,22.94,0.026564914992272023,60,12868.45,79.5
601877.XSHG,正泰电器,2,701.0,22392,21.2,0.03130582350839586,60,10914.133333333333,-305.0
000776.XSHE,广发证券,1,924.0,9667,9.83,0.09558291093410572,30,9614.033333333333,994.0
600016.XSHG,民生银行,5,1106.22,52493,51.67,0.02107366696511916,619,18466.032310177707,1022.18
601328.XSHG,交通银行,1,1477.0,21285,16.18,0.06939159032182288,150,17912.97333333333,1477.0
601166.XSHG,兴业银行,5,1901.2,76376,63.85,0.02489263643029224,330,14321.860606060605,741.0
002475.XSHE,立讯精密,1,1981.0,22862,17.38,0.08665033680342928,30,21430.733333333334,2765.0
002594.XSHE,比亚迪,1,2402.0,21205,16.12,0.11327517095024758,30,18497.6,1833.0
601668.XSHG,中国建筑,17,2821.1800000000003,155722,166.19,0.018116772196606776,1099,19365.752502274794,-817.0
000895.XSHE,双汇发展,3,3422.0,34781,32.39,0.09838705040108105,210,12150.352380952381,-1057.0
600028.XSHG,中国石化,4,3431.0,76811,60.34,0.04466808139459192,270,19152.48888888889,4559.0
000157.XSHE,中联重科,1,3542.0,20592,15.65,0.172008547008547,30,19625.466666666667,3740.0
601006.XSHG,大秦铁路,14,3588.62,163618,153.34,0.02193291691623171,619,20753.578352180935,-2691.0
601012.XSHG,隆基股份,1,5390.0,16535,13.27,0.32597520411248865,60,13261.083333333334,4945.0
002459.XSHE,晶澳科技,4,5906.4400000000005,63516,53.47,0.09299137225266076,120,20181.508333333335,4921.0
000651.XSHE,格力电器,9,6174.040000000001,142213,117.6,0.043414033878759334,619,18701.381260096932,-440.0
000100.XSHE,TCL科技,14,6886.65,84252,112.96000000000001,0.08173871243412618,690,17429.231884057972,2558.18
000876.XSHE,新希望,3,7138.0,38826,34.42,0.18384587647452738,90,15687.08888888889,-2422.0
603259.XSHG,药明康德,2,7782.0,44349,33.94,0.1754718257457891,60,19824.45,5001.0
600104.XSHG,上汽集团,12,9283.0,158894,141.08,0.058422596196206274,900,16485.336666666666,4454.8
600887.XSHG,伊利股份,8,10267.0,133983,110.47,0.07662912459043311,390,19771.310256410256,1352.0
600690.XSHG,海尔智家,7,10416.46,86703,79.38,0.12013955687807802,300,16740.3,1812.96
600019.XSHG,宝钢股份,9,13016.25,102698,99.63,0.12674297454672925,450,18755.56,-1140.0
600196.XSHG,复星医药,4,14913.0,80597,63.730000000000004,0.18503170093179647,210,17409.833333333332,-1757.0
