date,factors,candidate_count,score_count,targets,target_count,factor_columns
2019-01-02,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",132,130,"000338.XSHE,601009.XSHG,002422.XSHE,000709.XSHE,300142.XSHE,601336.XSHG,600809.XSHG,000651.XSHE,000100.XSHE,600795.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2019-04-03,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",131,130,"002027.XSHE,600104.XSHG,000100.XSHE,601601.XSHG,601766.XSHG,000338.XSHE,000876.XSHE,300142.XSHE,002236.XSHE,600795.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2019-07-03,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",134,133,"000100.XSHE,000157.XSHE,601766.XSHG,000776.XSHE,600031.XSHG,601009.XSHG,000895.XSHE,002027.XSHE,601668.XSHG,600019.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2019-09-26,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",137,136,"000100.XSHE,601668.XSHG,601336.XSHG,000338.XSHE,000895.XSHE,601009.XSHG,600031.XSHG,601985.XSHG,000157.XSHE,002475.XSHE",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2019-12-26,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",140,138,"000100.XSHE,600104.XSHG,601012.XSHG,000157.XSHE,601766.XSHG,600019.XSHG,601668.XSHG,600031.XSHG,002236.XSHE,688036.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2020-03-30,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",143,140,"000338.XSHE,002236.XSHE,601668.XSHG,600031.XSHG,000100.XSHE,000157.XSHE,601012.XSHG,600887.XSHG,600019.XSHG,601766.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2020-06-30,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",144,143,"601009.XSHG,000338.XSHE,601668.XSHG,000100.XSHE,600016.XSHG,601336.XSHG,600887.XSHG,300433.XSHE,002236.XSHE,600031.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2020-09-22,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",148,145,"300017.XSHE,601919.XSHG,000776.XSHE,000157.XSHE,000338.XSHE,600887.XSHG,000625.XSHE,601328.XSHG,600000.XSHG,600019.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2020-12-23,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",149,148,"601919.XSHG,000157.XSHE,601668.XSHG,601328.XSHG,600690.XSHG,601225.XSHG,600000.XSHG,601377.XSHG,601211.XSHG,000725.XSHE",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2021-03-25,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",149,148,"601919.XSHG,002236.XSHE,601328.XSHG,601668.XSHG,600000.XSHG,000625.XSHE,601989.XSHG,000157.XSHE,000100.XSHE,000776.XSHE",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2021-06-24,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",150,149,"601919.XSHG,000725.XSHE,600104.XSHG,600000.XSHG,600019.XSHG,002422.XSHE,000039.XSHE,601229.XSHG,601336.XSHG,002236.XSHE",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2021-09-16,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",152,152,"000100.XSHE,601919.XSHG,000725.XSHE,000338.XSHE,601818.XSHG,000157.XSHE,002422.XSHE,600016.XSHG,601111.XSHG,600887.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
2021-12-20,"value_blend,growth_peg,amihud,quality_roe,low_vol_60",152,152,"000039.XSHE,601818.XSHG,600887.XSHG,000338.XSHE,601328.XSHG,002422.XSHE,300033.XSHE,600019.XSHG,601688.XSHG,601668.XSHG",10,"value_blend,growth_peg,amihud,quality_roe,low_vol_60 holder_coverage=0"
