industry,names,day_pnl,avg_value,realized_pnl,held_days,pnl_on_avg_value
光伏风电储能,2,-6082.0,29263.488837798213,-8252.0,347,-0.20783577903890185
建筑建材,1,-1686.0,15825.23076923077,916.0,104,-0.10653873075128324
家电,1,-853.74,13454.697841726618,0.0,139,-0.06345292997605073
电子,2,-666.0,33931.063291139246,0.0,98,-0.019628032115749205
医药生物,4,-47.289999999999964,51641.32514198468,-268.96999999999997,306,-0.000915739475506854
计算机传媒互联网,1,173.15999999999997,13701.096153846154,-778.84,104,0.012638404844081816
食品饮料,1,510.0,14936.1,564.0,60,0.03414545965814369
有色钢铁化工煤炭,1,774.0,16552.42105263158,0.0,19,0.04676053113553113
交通运输物流,2,1925.0,31916.308744855967,650.0,363,0.06031399230370765
银行,3,2104.62,48932.750612034535,4986.619999999999,363,0.043010457692978926
电力公用事业,1,4434.0,16965.391666666666,4372.0,120,0.26135559302835626
汽车,1,5051.33,16280.786008230452,1393.15,243,0.3102632758299503
机械设备军工,2,5582.610000000001,34089.13181818182,5417.610000000001,164,0.16376509762042263
