code,name,industry,held_days,day_pnl,avg_value,max_value,ending_value,ending_float_pnl,pnl_on_avg_value,realized_pnl,sell_amount,sell_trades
600438.XSHG,通威股份,光伏风电储能,183,-5641.0,14067.043715846994,19012.0,14364.0,-1568.0,-0.4010082085438624,-6155.0,11172.0,1.0
601669.XSHG,中国电建,建筑建材,104,-1686.0,15825.23076923077,16898.0,16626.0,984.0,-0.10653873075128324,916.0,16558.0,1.0
000651.XSHE,格力电器,家电,139,-853.74,13454.697841726618,16456.0,16088.0,-853.74,-0.06345292997605073,0.0,0.0,0.0
600745.XSHG,闻泰科技,电子,79,-704.0,16765.063291139242,19760.0,14912.0,-704.0,-0.0419920872217692,0.0,0.0,0.0
002252.XSHE,上海莱士,医药生物,120,-695.79,16058.941666666668,16632.0,15864.0,-695.79,-0.043327263679165236,-695.79,15864.0,1.0
601009.XSHG,南京银行,银行,60,-546.98,16343.833333333334,17010.0,15498.0,-546.98,-0.033467056891998,-518.98,15526.0,1.0
601012.XSHG,隆基绿能,光伏风电储能,164,-441.0,15196.44512195122,20520.0,16119.0,450.0,-0.029019944892439142,-2097.0,29484.0,2.0
603259.XSHG,药明康德,医药生物,19,25.0,9161.21052631579,9405.0,9064.0,25.0,0.002728897008554374,0.0,0.0,0.0
000100.XSHE,TCL科技,电子,19,38.0,17166.0,17746.0,17252.0,38.0,0.002213678201095188,0.0,0.0,0.0
002236.XSHE,大华股份,计算机传媒互联网,104,173.15999999999997,13701.096153846154,17433.0,12328.0,-1019.84,0.012638404844081816,-778.84,14283.0,2.0
000538.XSHE,云南白药,医药生物,123,235.5,14951.536585365853,17514.0,17028.0,255.0,0.015750889459114244,419.5,17094.0,1.0
000001.XSHE,平安银行,银行,199,251.59999999999997,16138.532663316582,18452.0,17115.0,222.4,0.015590017088226061,26.2,1172.0,1.0
002422.XSHE,科伦药业,医药生物,44,388.0,11469.636363636364,12952.0,12360.0,-192.68,0.03382844823486518,7.32,12560.0,1.0
000895.XSHE,双汇发展,食品饮料,60,510.0,14936.1,15366.0,15054.0,510.0,0.03414545965814369,564.0,15108.0,1.0
601111.XSHG,中国国航,交通运输物流,120,586.0,16167.675,18676.0,14780.0,340.0,0.03624516202855389,468.0,17074.0,2.0
600989.XSHG,宝丰能源,有色钢铁化工煤炭,19,774.0,16552.42105263158,17667.0,17667.0,774.0,0.04676053113553113,0.0,0.0,0.0
601919.XSHG,中远海控,交通运输物流,243,1339.0,15748.633744855968,18381.0,16698.0,2677.0,0.08502324847305325,182.0,1593.0,1.0
000157.XSHE,中联重科,机械设备军工,44,2277.0,16983.93181818182,19297.0,18906.0,2369.0,0.13406789572496997,2070.0,18607.0,1.0
600016.XSHG,民生银行,银行,104,2400.0,16450.384615384617,18920.0,18920.0,5159.4,0.14589324542330082,5479.4,19240.0,1.0
000039.XSHE,中集集团,机械设备军工,120,3305.61,17105.2,19635.0,19215.0,3305.61,0.19325175969880504,3347.61,19257.0,1.0
600795.XSHG,国电电力,电力公用事业,120,4434.0,16965.391666666666,19008.0,18942.0,4356.0,0.26135559302835626,4372.0,19862.0,2.0
000338.XSHE,潍柴动力,汽车,243,5051.33,16280.786008230452,20152.0,15480.0,3740.18,0.3102632758299503,1393.15,6726.0,2.0
