code,name,sell_trades,realized_pnl,sell_amount,fee,realized_pnl_rate,held_days,avg_value,last_float_pnl
600438.XSHG,通威股份,2.0,-8807.0,19452.0,19.73,-0.4527555007197203,319,12626.617554858934,-1568.0
300017.XSHE,网宿科技,2.0,-3924.2200000000003,19724.0,19.86,-0.19895660109511257,120,10519.416666666666,-1408.22
600570.XSHG,恒生电子,1.0,-3813.03,10239.0,10.12,-0.37240257837679464,120,12899.85,-3858.03
600104.XSHG,上汽集团,3.0,-3004.0,32963.0,31.479999999999997,-0.09113248187361588,360,8547.25,-819.0
601766.XSHG,中国中车,3.0,-2950.0,27714.0,28.86,-0.10644439633398282,300,8928.026666666667,357.0
002466.XSHE,天齐锂业,1.0,-2866.0,8697.0,9.35,-0.32953892146717256,120,10869.716666666667,-3005.0
601229.XSHG,上海银行,2.0,-2556.0,14469.0,17.240000000000002,-0.17665353514410118,180,15026.477777777778,-2601.14
601985.XSHG,中国核电,2.0,-2462.0,18478.0,19.240000000000002,-0.13323952808745534,120,9773.875,-1751.0
002236.XSHE,大华股份,6.0,-2257.8500000000004,47048.0,53.519999999999996,-0.04799035028056454,480,10955.475,-1019.84
000725.XSHE,京东方A,3.0,-1690.66,28801.0,29.41,-0.058701433977986876,240,14377.7125,1836.34
600873.XSHG,梅花生物,1.0,-1568.0,13160.0,11.58,-0.11914893617021277,60,14080.966666666667,-1344.0
601818.XSHG,光大银行,3.0,-1538.6,14383.0,22.200000000000003,-0.10697351039421539,240,14411.9375,-1529.6
600346.XSHG,恒力石化,1.0,-1350.0,12670.0,11.34,-0.10655090765588003,60,13704.833333333334,-1060.0
000001.XSHE,平安银行,3.0,-1299.2,26756.0,28.380000000000003,-0.04855733293466886,319,15278.877742946708,222.4
300033.XSHE,同花顺,2.0,-1199.0,22889.0,21.45,-0.052383240858054084,120,11687.258333333333,1506.0
601877.XSHG,正泰电器,1.0,-1015.0,12992.0,11.5,-0.078125,60,13103.65,-798.0
000776.XSHE,广发证券,3.0,-807.0,28409.0,29.2,-0.02840649090077088,180,9610.022222222222,-360.0
000792.XSHE,盐湖股份,2.0,-754.0,25972.0,22.990000000000002,-0.029031264438626213,120,12961.083333333334,352.0
002241.XSHE,歌尔股份,1.0,-746.96,14016.0,12.01,-0.05329337899543379,120,12771.35,-802.96
002252.XSHE,上海莱士,1.0,-695.79,15864.0,12.93,-0.04385968229954614,120,16058.941666666668,-695.79
601211.XSHG,国泰君安,2.0,-639.0,24893.0,22.450000000000003,-0.02566986703089222,120,12568.416666666666,-27.0
600887.XSHG,伊利股份,3.0,-601.0,29620.0,29.81,-0.020290344361917623,540,10561.383333333333,-1375.0
